Título,SKU,Precio Original,Precio Descuento,Precio Envío,Stock
"Memoria RAM HPE DDR4, 2933MHz, 16GB, CL21, Dual Rank x8",P00922-B21,"$20,959.00",$659.00,$99.00,10
"Memoria RAM HPE DDR4, 2933MHz, 32GB, CL21, Registered (Buffered)",P00924-B21,"$11,101.00","$3,349.00",$99.00,25
"Cartucho Brother LC107BK Negro, 1200 Páginas",LC107BK,$562.00,$142.00,$99.00,¡1
"Logitech Audífonos Gamer G635 7.1, Alámbrico, 1.5 Metros, 3.5mm, Negro/Azul",981-000748,"$2,719.00","$1,319.00",$99.00,¡1
"SSD Western Digital WD Blue SN570 NVMe, 500GB, PCI Express 3.0, M.2 ― Incluye Membresía 1 Mes de Adobe Creative Cloud",WDS500G3B0C,$884.00,$509.00,$99.00,28
"SSD Adata FALCON NVMe, 1TB, PCI Express 3.0, M.2",AFALCON-1T-C,"$1,878.00",$899.00,$99.00,5
"Memoria RAM HPE P06033-B21 DDR4, 3200MHz, 32GB, CL22",P06033-B21,"$17,290.00","$3,419.00",$99.00,106
"X-Case Caja ACCREDKE10, 1x RJ-45, 10 Piezas",ACCREDKE10,$365.00,$51.00,$99.00,5
"Yeyian Audífonos Gamer Force S3000, Alámbrico, 2.2 Metros, 3.5mm, Gris",YDF-33401G,$408.00,$179.00,$99.00,594
"Memoria RAM Adata AD5U48008G-S DDR5, 4800MHz, 8GB, ECC, CL40",AD5U48008G-S,"$1,046.00",$482.00,$99.00,13
"Zebra Rollo de Etiquetas Z-Select 4000T, 1.188"" x 0.84"", 3000 Etiquetas, 6 Rollos",10009522,"$1,169.00",$196.00,$99.00,48
"Router ASUS Gigabit Ethernet de Banda Dual RT-AC66U B1 AC1750 para Gaming con AiMesh, Inalámbrico, 1300 Mbit/s, 4x RJ-45, 2.4/5GHz, 3 Antenas",90IG0300-BA1000,"$1,988.00","$1,119.00",$99.00,153
"Panduit Módulo Ciego Gris, Paquete de 10 Piezas",CMBIG-X,$163.00,$22.00,$99.00,3
"SSD Gigabyte GP-GSTFS31240GNTD, 240GB, SATA III, 2.5'', 7mm",GP-GSTFS31240GNTD,$381.00,$236.00,$99.00,5
"SSD Western Digital WD Blue SA510, 250GB, SATA III, 2.5'', 7mm",WDS250G3B0A,$790.00,$439.00,$99.00,14
"Jabra Cable GN1216 Avaya, QD Macho - RJ-9 Macho, 80cm, Negro",88001-04,$729.00,$115.00,$99.00,204
"SSD Western Digital WD Black SN850, 500GB, PCI Express 4.0, M.2, NVMe",WDS500G1X0E,"$1,780.00",$959.00,$99.00,3
"Monitor Dell E1916HV LED 18.51'', HD, VGA, Negro",210-AGMG,"$2,136.00","$1,239.00",$149.00,227
"Memoria RAM Lenovo 4ZC7A08709 DDR4, 2933MHz, 32GB",4ZC7A08709,"$6,944.00","$1,649.00",$99.00,24
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Menta",910-006377,"$1,271.00",$729.00,$99.00,7
"Monitor AOC 24B2XHM LCD 23.8"", Full HD, 75Hz, HDMI, Negro",24B2XHM,"$3,518.00","$2,249.00",$144.00,52
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Negro",910-005281,"$1,286.00",$879.00,$99.00,7
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Azul",910-006013,"$1,245.00",$879.00,$99.00,7
"SSD Kingston NV2 NVMe, 2TB, PCI Express 4.0, M.2",NV2S/2000G,"$1,552.00","$1,289.00",$99.00,31
"Procesador AMD Ryzen 5 3600, S-AM4, 3.60GHz, Six-Core, 32MB L3 Cache - con Disipador Wraith Stealth",100-100000031SBX,"$2,564.00","$1,629.00",$99.00,82
"Monitor Curvo Samsung LC34J791WTLXZX QLED 34'', Quad HD, Ultra Wide, FreeSync, 100Hz, HDMI, Bocinas Integradas, Gris Claro",LC34J791WTLXZX,"$18,457.00","$12,549.00",$189.00,42
"Logitech Audífonos Gamer G332, Alámbrico, 2 Metros, 3.5mm, Negro/Rojo",981-000755,"$1,311.00",$919.00,$99.00,13
"Logitech Bocina Z625 con Subwoofer, Alámbrico, 2.1, 70W RMS, Entrada Óptica, Negro",980-001258,"$4,735.00","$3,259.00",$144.00,¡1
"SSD XPG SX8200 Pro, 1TB, PCI Express 3.0, M.2, 3.5mm",ASX8200PNP-1TT-C,"$1,256.00",$889.00,$99.00,42
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Lila",910-006021,"$1,029.00",$769.00,$99.00,3
"Monitor AOC Essential-line 20E1H LED 19.5"", HD, Negro",20E1H,"$2,620.00","$1,479.00",$154.00,12
"Memoria RAM XPG Spectrix D50 RGB DDR4, 3600MHz, 8GB, CL18, XMP",AX4U36008G18I-ST50,$625.00,$432.00,$99.00,¡1
"SSD PNY CS900, 240GB, SATA III, 2.5'', 7mm",D7CS900-240-RB,$578.00,$406.00,$99.00,26
"Tablet Lenovo Tab M7 Gen3 7"", 32GB, Android 11, Gris",ZA8C0009MX,"$2,827.00","$1,389.00",$99.00,126
"SSD HP EX950, 512GB, PCI Express 3.0, M.2",5MS22AA,"$1,125.00",$639.00,$99.00,92
"SSD Western Digital WD Green SN350 NVMe, 1TB, PCI Express, M.2",WDS100T3G0C,$876.00,$699.00,$99.00,117
"Mouse Gamer Logitech Óptico Pro X Superlight, Inalámbrico, Lightspeed, USB A, 25.400DPI, Negro",910-005879,"$2,186.00","$1,699.00",$99.00,2
"Xbox Live Gold, 1 Año ― Producto Digital Descargable",5T-00012,"$1,159.00",$899.00,Envío gratis,existencia
"Teclado Logitech K480 Multiplataforma, Inalámbrico, Bluetooth, Negro (Español)",920-006346,$816.00,$559.00,$99.00,51
"Teclado Logitech K380, Inalámbrico, Bluetooth, Rosa (Español)",920-009594,$810.00,$619.00,$99.00,3
"Vorago Silla Gamer CGC500, hasta 120kg, Negro/Azul",CGC-500/BL,"$3,879.00","$2,909.00",$319.00,15
"Tarjeta Madre Gigabyte Micro ATX B550M DS3H AC Rev. 1.0, S-AM4, AMD B550, HDMI, 128GB DDR4 para AMD",B550M DS3H AC (REV. 1.0),"$2,132.00","$1,799.00",$99.00,38
"Logitech Audífonos Gamer G433 7.1 para Xbox/PS4/Nintendo Switch, Alámbrico, 2 Metros, 3.5mm, Negro",981-000667,"$2,216.00","$1,609.00",$99.00,18
"Memoria RAM Adata AD5U480016G-S DDR5, 4800MHz, 16GB, ECC, CL40",AD5U480016G-S,"$1,341.00",$869.00,$99.00,¡1
