Título,SKU,Precio Original,Precio Descuento,Precio Envío,Stock
"Monitor LG 29WP500-B LCD 29"", Full HD, UltraWide, FreeSync, 75Hz, HDMI, Negro",29WP500-B,"$4,951.00","$3,979.00",$164.00,40
"Dell Mochila ES1520P para Laptop 15"", Negro",460-BCTJ,$581.00,$409.00,$99.00,737
"Beats by Dr. Dre Audífonos Beats Solo3 Wireless, Bluetooth, Negro",MX432LL/A,"$4,499.00","$2,749.00",$99.00,60
"Mousepad Gamer Primus Arena L, 39 x 31cm, Grosor 3mm, Negro/Morado",PMP-10L,$245.00,$83.00,$99.00,13
"Apple AirPods (2da. Generación), Inalámbrico, Bluetooth, Blanco - incluye Estuche de Carga Alámbrico",MV7N2BE/A,"$3,999.00","$3,169.00",Envío gratis,125
"Tablet Ghia Vector Slim 10.1”, 16GB, Android 10 Go Edition , Negro",GTVR10SB,"$2,229.00","$1,339.00",$99.00,114
"Logitech Audífonos con Micrófono Zone Vibe 100, Bluetooth, Inalámbrico, Rosa",981-001223,"$1,620.00","$1,139.00",$99.00,6
"Logitech Bocina WONDERBOOM 2, Bluetooth, Inalámbrico, Negro - Resistente al Agua",984-001554,"$1,864.00","$1,359.00",$99.00,51
"Logitech Webcam HD Pro Stream C922, 1920x1080 Pixeles, USB, Negro",960-001087,"$2,170.00","$1,609.00",$99.00,21
"Memoria RAM XPG Spectrix D60G RGB DDR4, 3600MHz, 8GB, Non-ECC, CL19, XMP",AX4U36008G18I-ST60,$591.00,$459.00,$99.00,3
"Cartucho Brother LC61C Cian, 325 Páginas",LC61C,$391.00,$201.00,$99.00,11
"Monitor Gamer Samsung Odyssey G4 LED 25”, Full HD, G-Sync, 240Hz, HDMI, Negro",LS25BG400ELXZX,"$7,489.00","$5,759.00",$144.00,9
"Logitech Audífonos Gamer G Pro, Alámbrico, 2 Metros, 3.5mm, Negro",981-000811,"$2,175.00","$1,699.00",$99.00,3
"Procesador AMD Ryzen 5 4600G Radeon Graphics, S-AM4, 3.70GHz, Six-Core, 8MB L3 Caché - con Disipador Wraith Stealth",100-100000147BOX,"$1,689.00","$1,469.00",$99.00,159
"Procesador Intel Core i5-10400F, S-1200, 2.90GHz, Six-Core, 12MB Cache (10ma. Generación - Comet Lake) ― Requiere Gráficos Discretos",BX8070110400F,"$1,957.00","$1,569.00",$99.00,¡1
"Monitor Gamer LG 32MN500M-B LED 31.5"", Full HD, FreeSync, HDMI, Negro",32MN500M-B,"$5,010.00","$4,019.00",$159.00,442
"Monitor Lenovo D19-10 61E0 LED 18.5"", HD, HDMI, Negro",61E0KAR6US,"$2,495.00","$1,909.00",$149.00,19
"Procesador AMD Ryzen 7 5700G, S-AM4, 3.80GHz, 8-Core, 16MB L3 Caché - incluye Disipador Wraith Stealth",100-100000263BOX,"$3,278.00","$2,749.00",$99.00,76
"Corsair Audífonos Gamer HS35, Alámbrico, 1.1 Metros, 3.5mm, Negro/Azul",CA-9011196-NA,$639.00,$495.00,$99.00,142
"Tablet Samsung Galaxy Tab A7 Lite 8.7"", 32GB, Android 11, Plata",M-T220NZSAMXO,"$3,200.00","$2,309.00",$99.00,50
"Logitech Teclado Gamer G Pro RGB, Mecánico, Switch GX Blue, Alámbrico, Negro (Inglés)",920-009388,"$2,373.00","$1,899.00",$99.00,¡1
"Logitech Kit Volante Driving Force G29, Alámbrico, USB 2.0, para PC/PlayStation 3/4",941-000111,"$5,069.00","$3,779.00",$149.00,18
"Monitor Acteck 933858 LED 21.5"", Full HD, 75Hz, HDMI, Negro",AC-933858,"$1,726.00","$1,499.00",$144.00,45
"Logitech Sistema de Bocinas con Subwoofer Z906, 5.1, 500W RMS, Negro",980-000474,"$7,930.00","$6,259.00",$209.00,101
"Kit Gamer 3 en 1 Corsair Teclado K60 RGB Pro + Mouse Harpoon RGB Pro + Mousepad MM300, Alámbrico, USB, Negro (Inglés)",CH-910D519-SP,"$2,020.00","$1,389.00",$99.00,609
"Teclado Gamer HyperX Alloy Core RGB, Alámbrico, Negro (Español)",4P4F5AI#AC8,"$1,126.00",$999.00,$99.00,104
"HP Adaptador HDMI Macho - VGA (D-Sub) Macho, 45cm, Negro",H4F02AA,"$1,069.00",$529.00,$99.00,47
Honeywell HF680-R1-2USB Lector de Código de Barras 2D - incluye Cables,HF680-R1-2USB,"$4,176.00","$2,809.00",$99.00,17
"Monitor Gamer Gigabyte G24F 2 LED 23.8"", Full HD, FreeSync Premium/Adaptive-Sync, 165Hz, HDMI, Negro",G24F 2,"$3,572.00","$3,219.00",$164.00,4
"Memoria RAM Dell AB663419 DDR4, 3200MHz, 8GB, ECC — Fabricado por Socios Dell",AB663419,"$3,980.00","$1,669.00",$99.00,22
"SSD Western Digital WD_Black SN770 NVMe, 500GB, PCI Express 4.0, M.2",WDS500G3X0E,$825.00,$679.00,$99.00,13
"Disco Duro para Videovigilancia Western Digital WD Purple Surveillance 3.5"", 3TB, SATA III, 6 Gbit/s, 5400 RPM, 64MB Caché",WD33PURZ,"$1,994.00","$1,489.00",$99.00,11
"Dell 429-AAUQ Quemador de DVD, DVD±RW 8x, USB 2.0, Externo, Negro",429-AAUQ,$934.00,$629.00,$99.00,689
"Logitech Audífonos Gamer G335 para PC/Xbox/PS4/Nintendo Switch, Alámbrico, 3.5mm, Negro",981-000977,"$1,365.00",$969.00,$99.00,6
"Memoria Flash SanDisk para Nintendo Switch, 128GB MicroSDXC Clase 3",DSQXAO-128G-GNCZN,$505.00,$355.00,$99.00,113
"Tarjeta de Video Gigabyte NVIDIA GeForce GTX 1660 OC, 6GB 192-bit GDDR5, PCI Express x16 3.0",GV-N1660OC-6GD,"$6,783.00","$5,419.00",$99.00,27
"Disco Duro para Servidor Western Digital WD Ultrastar 4TB SATA III 7200RPM 3.5"" 6 Gbit/s",0B35950,"$4,638.00","$2,929.00",$99.00,2
"Monitor BenQ GW2280 LED 21.5'', Full HD, HDMI, Negro",9H.LH4LB.QBL,"$2,330.00","$1,979.00",$149.00,39
"Fuente de Poder EVGA 700-K1 80 PLUS Bronze, ATX, 120mm, 700W",100-BR-0700-K1,"$1,848.00","$1,479.00",$99.00,16
"Procesador AMD Ryzen 5 5600G con Gráficos Radeon 7, S-AM4, 3.90GHz, Six-Core, 16MB L3 Caché - incluye Disipador Wraith Stealth",100-100000252BOX,"$2,199.00","$1,909.00",$99.00,133
"Tarjeta Madre Gigabyte AORUS X507S Master, S-AM4, AMD X507, USB 3.2, 128GB DDR4 para AMD ― Requiere Actualización de BIOS para la Serie Ryzen 5000",X570S AORUS MASTER,"$8,149.00","$6,399.00",$99.00,8
"SSD Western Digital WD Blue SN570 NVMe, 250GB, PCI Express 3.0, M.2 ―  Incluye Membresía 1 Mes de Adobe Creative Cloud",WDS250G3B0C,$612.00,$439.00,$99.00,8
"Fuente de Poder Balam Rush BR-931151 80 PLUS Bronze, ATX, 450W",BR-931151,$750.00,$629.00,$99.00,8
"Multifuncional Brother DCP-T520W InkBenefit Tank, Color, Inyección, Tanque de Tinta, Inalámbrico, Print/Scan/Copy",DCP-T520W,"$4,257.00","$3,269.00",$154.00,87
"SSD Samsung 980 PRO NVMe, 1TB, PCI Express 4.0, M.2",MZ-V8P1T0BW,"$1,859.00","$1,659.00",$99.00,3
"SSD Adata Ultimate SU630 QLC 3D, 960GB, SATA, 2.5"", 7mm",ASU630SS-960GQ-R,$729.00,$599.00,$99.00,64
"Mouse Logitech Óptico POP, Inalámbrico, Bluetooth, 4000DPI, Rosa Coral",910-006551,$660.00,$469.00,$99.00,2
"Mouse Logitech Óptico POP, Inalámbrico, 4000DPI, Violeta/Menta",910-006550,$597.00,$469.00,$99.00,¡1
"Monitor Gamer Balam Rush Odissey LED 23.8"" Full HD, FreeSync, 144Hz, HDMI, Negro",BR-932417,"$3,210.00","$2,429.00",$144.00,22
"SSD Crucial MX500, 500GB, SATA III, 2.5""",CT500MX500SSD1,$811.00,$669.00,$99.00,21
"Laptop Gamer Lenovo Notebook Legion 5 15ACH6H 15.6"" Full HD, AMD Ryzen 5 5600H 3.30GHz,16GB, 512GB SSD, NVIDIA GeForce RTX 3050 Ti, Windows 11 Home 64-bit, Español, Plata",82JW00LTLM,"$32,258.00","$21,639.00",$99.00,32
"Teclado Logitech MX Mechanical Mini TKL, Inalámbrico, Bluetooth, Grafito (Español)",920-010846,"$3,013.00","$2,679.00",$99.00,2
"SSD XPG GAMMIX S11 Pro, 512GB, PCI Express 3.0 x4, M.2",AGAMMIXS11P-512GT-C,$690.00,$569.00,$99.00,40
"Teclado Logitech Touch K400 Plus, Inalámbrico, USB, Negro (Español)",920-007123,$837.00,$649.00,$99.00,161
"Teclado Logitech Pop Keys, Teclado Mecánico, Inalámbrico, Menta/Violeta/Blanco/Amarillo (Español)",920-010714,"$1,823.00","$1,399.00",$99.00,2
"Xbox Live, 6 Meses ― Producto Digital Descargable",6T-00007,$839.00,$669.00,Envío gratis,existencia
"Procesador Intel Core i3-10105F, S-1200, 3.70GHz, Quad-Core, 6MB Smart Cache (10ma Generación - Comet Lake)",BX8070110105F,"$1,320.00","$1,159.00",$99.00,15
"Disco Duro para Laptop Toshiba L200 2.5'', 1TB, SATA III, 6Gbit/s, 5400RPM, 128MB Cache",HDWL110UZSVA,$815.00,$669.00,$99.00,37
"Monitor Curvo Samsung LC24F390FHL LED 23.5'', Full HD, FreeSync, HDMI, Negro",LC24F390FHLXZX,"$2,910.00","$2,319.00",$154.00,126
"Teclado Gamer Ocelot Gaming Candy Blue 60 RGB, Teclado Mecánico, Switch Blue, Alámbrico, Azul/Morado (Inglés)",CANDY BLUE 60-OC,$729.00,$569.00,$99.00,273
"Tóner Brother TN-336 Negro, 4000 Páginas",TN336BK,"$2,071.00","$1,289.00",$99.00,18
"Gabinete Yeyian Hollow 2500 con Ventana RGB, Midi-Tower, ATX/EATX/ITX/Micro ATX, USB 3.0, sin Fuente, sin Ventiladores Instalados, Negro/Blanco",YGH-49704,"$1,046.00",$889.00,$144.00,65
"Logitech Bocinas con Subwoofer Z313, 2.1, 25W RMS, Negro",980-000401,"$1,513.00","$1,149.00",$99.00,¡1
"Gabinete ASUS TUF Gaming GT301 con Ventana, Midi-Tower, ATX/Micro-ATX/Mini-ATX, USB 3.2, sin Fuente, 4 Ventiladores Instalados, Negro",90DC0040-B49000,"$2,281.00","$1,949.00",$159.00,255
"Teclado Gamer Logitech G213 Prodigy LED RGB, Alámbrico, Negro, (Inglés)",920-008084,"$1,151.00",$909.00,$99.00,5
"Disco Duro Interno Toshiba L200 2.5"", 2TB, SATAIII, 6 Gbit/s, 5400RPM, 128MB Caché",HDWL120UZSVA,"$1,277.00","$1,069.00",$99.00,17
"Astro Gaming Audífonos Gamer A10 para PS4/PS5/Xbox/PC/Mac, Alámbrico, 3.5mm, Negro/Azul",939-001594,"$1,032.00",$889.00,$99.00,74
"Mouse Gamer Ergonómico EVGA Óptico X20, Inalámbrico, Bluetooth/USB-A, 16000DPI, Negro",903-T1-20BK-K3,"$1,574.00","$1,059.00",$99.00,184
"Logitech Webcam C270, 3MP, 1280 x 720 Pixeles, USB 2.0, Negro",960-000947,$605.00,$456.00,$99.00,339
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Azul",981-000942,"$2,937.00","$2,549.00",$99.00,5
"Game Factor Audífonos Gamer HSG500, Alámbrico, 1.5 Metros, 3.5mm, Negro",HSG500,$508.00,$384.00,$99.00,8
"Procesador Intel Core i3-10100F, S-1200, 3.60GHz, Quad-Core, 6MB Caché (10ma Generación - Comet Lake)",BX8070110100F,"$1,212.00","$1,059.00",$99.00,23
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Blanco",981-000882,"$2,935.00","$2,589.00",$99.00,2
"SSD XPG GAMMIX S70 BLADE NVMe, 4TB, PCI Express 4.0, M.2",AGAMMIXS70B-4T-CS,"$5,474.00","$4,309.00",$99.00,6
"Laptop Gamer Lenovo Legion 5 15IAH7H 15.6"" Full HD, Intel Core i5-12500H 3.30GHz, 8GB, 1TB SSD, NVIDIA GeForce RTX 3060, Windows 11 Home 64-bits, Español, Gris",82RB00PBLM,"$26,889.00","$22,519.00",$99.00,171
"Logitech Webcam HD Pro C920s con Micrófono, Full HD, 1920 x 1080 Pixeles, USB 2.0, Negro",960-001257,"$1,366.00","$1,179.00",$99.00,393
"Procesador AMD Ryzen 5 5600X, S-AM4, 3.70GHz, 32MB L3 Cache - incluye Disipador Wraith Stealth",100-100000065BOX,"$2,889.00","$2,549.00",$99.00,141
"Balam Rush Silla Gamer Thunder Rush 2, hasta 150Kg, Rosa",BR-932851,"$3,992.00","$3,059.00",$319.00,2
"TP-Link Cable Extensión de Baja Pérdida para Antenas, 12 Metros, Negro",TL-ANT24EC12N,$670.00,$225.00,$159.00,9
"Monitor ASUS VA24EHE LED 23.8"", Full HD, Adaptive-Sync, FreeSync, 75Hz, HDMI, Negro",VA24EHE,"$2,567.00","$2,229.00",$144.00,10
"Teclado Gamer Logitech G815 RGB, Teclado Mecánico, Switch GL Táctil, Alámbrico, Negro (Inglés)",920-008984,"$4,148.00","$3,609.00",$99.00,2
"Multifuncional Epson EcoTank M2120, Blanco y Negro, Inyección, Tanque de Tinta, Inalámbrico,  Print/Scan/Copy",C11CJ18301,"$5,679.00","$5,079.00",$139.00,¡1
"SSD Externo SanDisk Portable, 480GB, USB C, Negro",DSSDE30-480G-G25,"$1,505.00","$1,079.00",$99.00,19
"Procesador AMD Ryzen 5 3600, S-AM4, 3.60GHz, 32MB L3 Cache, con Disipador Wraith Stealth",100-100000031BOX,"$2,296.00","$1,969.00",$99.00,85
"SSD Western Digital WD Green SN350 NVMe, 2TB, PCI Express, M.2",WDS200T3G0C,"$1,730.00","$1,429.00",$99.00,228
"Monitor ASUS ProArt PA248QV LED 24.1"", Full HD, 75Hz, HDMI, Bocinas Integradas (2 x 4W), Negro",90LM05L1-B013B0,"$4,425.00","$3,859.00",$154.00,16
"Cartucho Canon PG-140XXL Negro, 600 Páginas",5198B001AA,"$1,199.00",$729.00,$99.00,29
"TP-Link Cable de Extensión de Baja Pérdida para Antenas, 6 Metros, Negro",TL-ANT24EC6N,$415.00,$250.00,$99.00,16
"Logitech Sistema de Bocinas con Subwoofer Z607, Bluetooth, Alámbrico, 5.1, 80W RMS, USB, Negro",980-001315,"$2,498.00","$2,109.00",$149.00,3
"Procesador AMD Ryzen 3 3200G con Gráficos Radeon Vega 8, S-AM4, 3.60GHz, Quad-Core, 4MB L3, con Disipador Wraith Stealth",YD3200C5FHBOX,"$1,426.00","$1,259.00",$99.00,2
"SSD Externo SanDisk Extreme Pro V2 NVMe, 1TB, USB-C, Negro",DSSDE81-1T00-G25,"$3,710.00","$2,929.00",$99.00,16
"Laptop Gamer Acer Predator Triton 300 SE PT314-52S-747P 14"" WUXGA, Intel Core i7-12700H 3.50GHz, 16GB, 512GB SSD, NVIDIA GeForce RTX 3060, Windows 11 Home 64-bit, Inglés, Gris",NH.QHMAA.001,"$25,041.00","$22,399.00",$99.00,56
"Memoria Flash Adata Premier Pro, 512GB MicroSDXC UHS-I Clase 10, con Adaptador",AUSDX512GUI3V30SA2-RA1,"$1,104.00",$809.00,$99.00,29
"Teclado Gamer Logitech G915 TKL RGB, Teclado Mecánico, Switch GL Táctil, Inalámbrico, Blanco (Inglés)",920-009660,"$3,167.00","$2,829.00",$99.00,¡1
"Mouse Gamer Logitech Óptico Pro X Superlight, Inalámbrico, Lightspeed, USB A, 25.400DPI, Blanco",910-005941,"$2,748.00","$2,469.00",$99.00,5
"Disipador CPU Cooler Master MasterAir MA612 Stealth ARGB, 120mm, 650-1800RPM, Negro",MAP-T6PS-218PA-R1,"$1,899.00","$1,479.00",$99.00,13
"LinkedPRO Módulo Transceptor LP-SFP-10G-SM-3 SFP+, LC, 10000 Mbits/s, 3km, 1310nm, 2 Piezas",LP-SFP-10G-SM-3,$912.00,$599.00,$99.00,381
"Nexxt Solutions Extensor de Red Kronos301, 300 Mbit/s, 2x RJ-45, Antena 3 dBi",AEIEL304U2,$317.00,$140.00,$99.00,20
"Monitor BenQ GW2283 LED 21.5"", Full HD, HDMI, Bocinas Integradas (2 x 2W), Negro",9H.LHLLA.TBL,"$2,163.00","$1,879.00",$149.00,29
"Monitor Samsung LS24A310NHLXZX LCD 24"", Full HD, HDMI, Negro",LS24A310NHLXZX,"$3,637.00","$2,669.00",$154.00,¡1
"Monitor AOC 22B2HN LED 21.5"", Full HD, 75Hz, HDMI, Negro",22B2HN,"$1,970.00","$1,519.00",$144.00,49
"Monitor Gamer ASUS VA24DQ LED 23.8"", Full HD, FreeSync, 75Hz, HDMI, Bocinas Integradas (2 x 2W), Negro",90LM0543-B013B0,"$2,985.00","$2,659.00",$154.00,3
"SSD SanDisk Plus, 240GB, SATA III, 2.5'', 7mm",DSSDA-240G-G26,$889.00,$739.00,$99.00,22
"Mouse Gamer Ergonómico Logitech Óptico G502 Hero RGB, Alámbrico, USB, 16.000DPI, Negro",910-005550,"$1,057.00",$909.00,$99.00,¡1
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Lila",981-000889,"$2,954.00","$2,659.00",$99.00,2
"Disco Duro Interno Western Digital WD Blue 2.5"", 2TB, SATA III, 6 Gbit/s, 5400RPM, 128MB Cache",WD20SPZX,"$1,383.00","$1,179.00",$99.00,84
"Balam Rush Webcam Stelar CW750, 1920 x 1080 Pixeles, USB, Negro",BR-932974,$631.00,$450.00,$99.00,17
"Tarjeta Madre ASUS Micro ATX PRIME B550M-A AC, S-AM4, AMD B550, HDMI, 128GB DRR4, para AMD",PRIME B550M-A AC,"$1,940.00","$1,749.00",$99.00,88
"Memoria USB SanDisk Ultra Shift, 256GB, USB 3.0, Negro",DCZ410-256G-G46,$421.00,$286.00,$99.00,30
"Corsair Audífonos Gamer HS35, Alámbrico, 1.1 Metros, 3.5mm, Negro/Verde",CA-9011197-NA,$772.00,$599.00,$99.00,¡1
"Tóner Brother TN-310BK Negro, 2500 Páginas",TN-310BK,"$1,795.00","$1,089.00",$99.00,107
"Logitech Audífonos Gamer G733 7.1 para PS4/PC, Inalámbrico, USB, Negro",981-000863,"$2,939.00","$2,659.00",$99.00,2
"Tarjeta de Video ASUS NVIDIA Phoenix GeForce RTX 3050 8G, 8GB 128-bit GDDR6, PCI Express 4.0",90YV0HH2-M0NA00,"$5,148.00","$4,089.00",$99.00,68
"Logitech Webcam HD Pro C920 con Micrófono, Full HD, 1920 x 1080 Pixeles, USB 2.0, Negro",960-000764,"$1,128.00",$909.00,$99.00,263
"Kit de Teclado y Mouse Dell KM5221W, Inalámbrico, USB, Negro (Español)",580-AJIU,$816.00,$619.00,$99.00,165
"MSI MAG CoreLiquid P240 Enfriamiento Líquido para CPU, 2x 120mm, 500 - 2000RPM",MAG CORELIQUID P240,"$1,658.00","$1,379.00",$99.00,84
